disease,userquery,userquerySyms
Retinal detachment,"
-Blurred vision
-Flashes of light
-Floaters in vision
-Sudden onset of visual loss","blurred vision,flashes,light,floaters,visual,loss"
Rheumatic fever,"
Achy joints, chest pain, shortness of breath, fatigue, fever, and a feeling of being unwell.","chest,shortness of breath"
Osteoarthritis,"
joint pain, stiffness, and decreased range of motion.","joint,stiff"
Indigestion,"
The symptoms of indigestion can vary from person to person. They may include feeling full and bloated, feeling sick (nausea), belching and passing wind, bringing up food or bitter tasting fluids, or heartburn.","ind,igestion,full,sick,belching"
Antiphospholipid syndrome,"
There is no one definitive set of symptoms for antiphospholipid syndrome, as the condition can manifest differently from person to person. However, some common symptoms associated with the condition include:

-Repeated miscarriages
-Blood clots
-Pregnancy complications
-Heart attacks
-Strokes
-Brain fog
-Fatigue
-Joint pain
-Muscle pain
-Skin rashes","symptoms,miscarriages,blood clots,pregnancy,complications,heart attacks,brain,fog,fatigue,joint,pain,muscle,pain,skin,rashes"
Aplastic anemia,"
The symptoms of aplastic anemia can vary from person to person and range from mild to severe. They may include:

* Fatigue
* Shortness of breath
* Pale skin
* Weakness
* Dizziness
* Headaches
* Cold hands and feet
* Rectal bleeding or blood in the stool
* Nosebleeds
* Petechiae (flat, red spots under the skin that are not caused by injury)
* Bruising easily","lastic,an,emia,fatigue,shortness of breath,pale,skin,weakness,di,zziness,headaches,cold,hands,feet,rectal,bleeding,blood,stool,nosebleed,petechiae,under,skin,br,uising"
Chronic myelogenous leukemia,"
The main symptom of chronic myelogenous leukemia (CML) is fatigue. Other symptoms may include:

• Feeling weak or tired
• Weight loss
• Fever
• Night sweats
• Bone pain or tenderness
• Headache
• Shortness of breath
• Frequent infections","leukemia,cm,fatigue,feeling,weak,tired,weight loss,fever,night sweats,bone,pain,tenderness,headache,shortness of breath,infections"
Stroke,"
The symptoms of a stroke can be divided into two main categories:

* Direct effects of the interruption of blood supply to the brain, which may include:
* Sudden onset of paralysis or weakness on one side of the body
* Loss of sensation in the arm and leg on one side of the body
* Loss of vision in one eye
* Difficulty speaking or understanding speech
* Dizziness or loss of balance
* Severe headache with no known cause

*","interruption,paralysis,weakness,body,loss of sensation,arm,leg,loss of vision,one eye,difficulty speaking,di,zziness,loss of balance,headache"
Reactive arthritis,"
-Joint pain
-Joint swelling
-Joint stiffness
-Redness and warmth around the joints
-Painful and swollen tendons
-Inflammation of the eye
-Rashes","joint,pain,joint,swelling,joint,stiffness,redness,joints,swollen,tendons,inflammation,eye,rashes"
Inflammatory breast cancer,"
Inflammatory breast cancer (IBC) is an aggressive and fast-growing type of breast cancer. It is most commonly diagnosed in women under the age of 50. IBC accounts for 1-5% of all breast cancers.

The most common symptom of IBC is a change in the appearance of the breast, such as redness, swelling, and warmth. The breast may also feel firmer or thicker than usual. Other symptoms may include:

· Breast pain
","breast,ib,breast,ib,breast,ib,breast,firm,breast,pain"
Vulvodynia,"
-Burning, stinging, or itching sensation in the vulva
-Soreness or rawness in the vulva
-Throbbing or aching pain in the vulva
-Sharp pain in the vulva
-Pain with intercourse","it,vulva,sore,ness,rawness,vulva,pain,vulva,pain,vulva,pain"
Down syndrome,"
There are a variety of symptoms associated with Down syndrome. They vary from person to person and can range from mild to severe.

Some common symptoms include:

-Low muscle tone
-Poor coordination
- Short stature
- Delayed development
- Intellectual disability","symptoms,low muscle tone,poor coordination,short stature,development,intellectual disability"
Rickets,"
-Bone pain and tenderness
-Increased risk of fractures
-Muscle weakness
-Dental problems
-Impaired growth
-Deformities of the long bones of the arms and legs","bone,pain,tenderness,fractures,muscle,weakness,dental problems,growth,deformities,long bones,arms,legs"
Waldenstrom macroglobulinemia,"
Waldenstrom macroglobulinemia (WM) is a type of cancer that starts in the cells that make antibodies. Symptoms may include fatigue, weight loss, night sweats, and bone pain. WM is diagnosed by a blood test and bone marrow biopsy. Treatment may include chemotherapy, radiation therapy, and stem cell transplant.","macroglobulinemia,w,m,cancer,w,m"
Coarctation of the aorta,"
The symptoms of coarctation of the aorta can vary depending on the severity of the condition. In some cases, there may be no symptoms. In other cases, symptoms may include chest pain, high blood pressure, fatigue, and shortness of breath.","aorta,chest,high,shortness of"
Broken heart syndrome,"
Patients with broken heart syndrome may experience chest pain, shortness of breath, and fatigue.","broken heart syndrome,chest,shortness of breath"
Color blindness,"
There is no one symptom of color blindness because the condition affects people in different ways. Some people with color blindness may not be able to see any colors, while others may only have trouble seeing certain colors.","color blindness,color blindness"
Fibromuscular dysplasia,"
There is no one definitive set of symptoms for fibromuscular dysplasia, as the condition can present in a variety of ways depending on which arteries are affected. In general, symptoms may include high blood pressure, headaches, dizziness, visual disturbances, and/or abdominal pain. In some cases, fibromuscular dysplasia may also lead to aneurysms or strokes.","headache,abdominal,fi,bro,dysplasia,an,eur"
Vascular dementia,"
The symptoms of vascular dementia can vary depending on the parts of the brain that are affected. They may include problems with memory, thinking, language, judgment, and movement.",vascular dementia
Nonallergic rhinitis,"
-Runny nose or excess mucus production
-Nasal congestion or obstruction
-Sneezing
-Itchy nose
-Watery, itchy eyes","run,ny nose,nasal,congestion,obstruction,s,nee,nose,itchy,eyes"
Childhood apraxia of speech,"
Some symptoms of childhood apraxia of speech may include:

* Difficulty saying sounds, syllables, or words
* Distortion of sounds
* Increased errors in vowel production
* Prolonged speech sounds
* Strained or effortful speech
* Slow speech rate
* Poor intelligibility","apr,axia,of speech,difficulty saying,distortion of sounds,errors in vowel,strained,effortful"
Uveitis,"
*Redness of the eye
*Pain in the eye
*Blurry vision
*Sensitivity to light
*Floaters in the field of vision","redness,eye,pain,eye,blur,ry,field of vision"
Coronary artery disease,"
-Chest pain or discomfort
-Pain or discomfort in the arms, shoulders, neck, jaw, or back
-Nausea, indigestion, heartburn, or abdominal pain
-Shortness of breath
-Fatigue
-Lightheadedness or dizziness
-Sweating","chest,pain,discomfort,pain,discomfort,back,abdominal,pain,shortness of breath,fatigue,lightheadedness,di,zziness,sweating"
Nephrogenic systemic fibrosis,"
-thickening and hardening of the skin
-joint pain and stiffness
-muscle weakness
-fatigue
-difficulty breathing
-swelling in the arms and legs","hardening,skin,joint,pain,stiffness,muscle,weakness,fatigue,difficulty breathing,swelling,arms,legs"
Diarrhea,"
-passing loose, watery stools
-abdominal cramps
-nausea
-bloating
-gas
-vomiting","watery,abdominal,cramps,nausea,b,vomiting"
Wet macular degeneration,"
The symptoms of wet macular degeneration include:

* Blurry vision
* A dark or empty spot in the center of vision
* Distorted or wavy vision
* Trouble seeing colors
* Trouble with fine detail","mac,blurry vision,spot,center of vision,distorted,vision,trouble,colors,trouble"
Heart valve disease,"
-a clicking sound when the heart beats
-a heart murmur
-shortness of breath
-chest pain or discomfort
-dizziness, lightheadedness, or fainting
-swelling in the legs, ankles, or feet","sound,murmur,shortness of breath,chest,pain,discomfort,ing,swelling,feet"
Pericarditis,"
Symptoms of pericarditis can include:

-Chest pain that feels sharp, stabbing, or aching. The pain usually starts in the center of your chest and radiates to your neck and left shoulder. It can get worse when lying down and breathing deeply.
-Pressure or a squeezing sensation in your chest
-Fatigue and weakness
-Dizziness or lightheadedness
-Fever 
-Nausea
-Increased heart rate","per,rditis,chest,pain,pain,center of,chest,neck,shoulder,pressure,squeezing sensation,chest,fatigue,weakness,di,zziness,lightheadedness,fever,nausea"
Epilepsy,"
Epilepsy is a neurological disorder that causes recurrent, unprovoked seizures. Seizures are episodes of disturbed brain activity that cause changes in attention, behavior, and/or body movement.

There are many different types of seizures, and they vary in severity. Some people with epilepsy only have mild seizures that do not interfere with their daily activities, while others have severe seizures that are life-threatening. Epilepsy can be difficult to diagnose because the symptoms can vary so much from","epilepsy,neurological disorder,seizures,disturbed,activity,epilepsy,seizures,seizures,epilepsy,symptoms"
Influenza (flu),"
The symptoms of influenza (flu) can vary from person to person. Symptoms can appear suddenly and can include fever, chills, sore throat, dry cough, headache, muscle aches and fatigue. Some people may also experience nausea, vomiting and diarrhoea.","influenza,flu,sore,ache,nausea,vomiting,dia"
Iritis,"
-Redness in the eye 
-Pain in the eye 
-Blurry vision 
-Sensitivity to light 
-Tearing","redness,eye,pain,eye,blur,ry"
Migraine,"
-Throbbing or pulsing pain in one area of the head
-Sensitivity to light, sound, and sometimes smell
-Nausea and vomiting
-Blurred vision
-Lightheadedness, sometimes followed by fainting
-Symptoms can last for a few hours to a few days","pain,one area of the head,nausea,vomiting,blurred vision,fainting symptoms"
Stye (sty),"
A stye is a red, swollen bump that forms along your eyelid. It may look like a pimple. A stye is usually caused by a bacterial infection. It can also be caused by an overgrowth of oil glands in the eyelid.","stye,bump,along,your,eye,stye,oil glands,eye"
Tinnitus,"
The main symptom of tinnitus is hearing a sound that no one else can hear. This can be a ringing, buzzing, clicking, or roaring sound. Tinnitus can happen in one or both ears. It can be temporary or last for a long time.",tin
Jet lag disorder,"
Symptoms of jet lag disorder may include any of the following:

- Disrupted sleep patterns
- Difficulty falling asleep
- Waking up frequently during the night
- Feeling tired or exhausted during the day
- Difficulty concentrating
- Irritability","jet,lag,disorder,disrupted sleep patterns,difficulty,falling asleep,up,tired,exhausted,concentrating,irritability"
Female sexual dysfunction,"
There is no one answer to this question as symptoms of female sexual dysfunction can vary greatly from woman to woman. However, some common symptoms that have been reported include a lack of desire or interest in sex, difficulty becoming aroused, difficulty achieving orgasm, and pain during intercourse. If you are experiencing any of these symptoms, it is important to talk to your healthcare provider as they may be indicative of an underlying medical condition.","sexual dysfunction,desire,pain"
Vulvar cancer,"
The symptoms of vulvar cancer depend on the size and location of the tumor. Often, there are no early symptoms. When they do occur, the most common symptom is itching. Other symptoms may include burning, bleeding, or discharge from the vulva. A lump or mass may also be felt in the vulva.","vu,lump,mass"
Chronic fatigue syndrome,"
There is no one-size-fits-all answer to this question, as the symptoms of chronic fatigue syndrome (CFS) vary from person to person. However, some common symptoms of CFS include fatigue that lasts for more than six months and is not relieved by rest, difficulty concentrating and memory problems, joint and muscle pain, headaches, and tender lymph nodes in the neck or armpits. Other symptoms may also be present.","chronic fatigue syndrome,cfs,cf,fatigue,difficulty,concentrating,memory problems,joint,muscle,headache,tender lymph nodes,neck,arm"
Familial hypercholesterolemia,"
Cholesterol levels that are much higher than average, starting at a young age
A family history of early heart disease
Xanthomas (yellow deposits of fat under the skin)
Atherosclerosis (hardening of the arteries)","deposits,at,her,os,harden,ing"
Acne,"
-Red, inflamed patches of skin
-Whiteheads, blackheads, or pimples
-Oily skin
-Painful, red bumps under the skin
-Scars from previous breakouts","in,fl,ame,d,skin,skin,bumps,under,the skin"
Pulmonary embolism,"
- Shortness of breath
- Chest pain
- Coughing up blood
- Rapid heart rate
- Lightheadedness or dizziness","shortness of breath,chest,pain,coughing,lightheadedness,di,zziness"
Henoch,"
The symptoms of Henoch can include abdominal pain, arthritis, bleeding from the skin, and kidney problems.",abdominal
Brain metastases,"
The symptoms of brain metastases can vary depending on the location of the tumor(s) and how many there are. They can also change over time, as the tumors grow and spread.

Some common symptoms include:

-Headaches
-Seizures
-Changes in mental status or mood
-Weakness or paralysis on one side of the body
-Numbness or tingling in one or more limbs
-Vision changes","brain,meta,stases,headache,seizures,changes,mood,weakness,paralysis,one side of the body,numbness,tingling,one,limbs,changes"
Chiari malformation,"
The symptoms of Chiari malformation depend on the severity of the condition. In mild cases, there may be no symptoms. In more severe cases, symptoms may include:

-Headache
-Neck pain
-Dizziness
-Nausea
-Vomiting
-Blurred vision
-Difficulty swallowing
-Difficulty speaking
-Muscle weakness
-Loss of coordination
-Numbness or tingling in the hands or feet","chiari malformation,headache,neck,pain,di,zziness,nausea,vomiting,blurred vision,difficulty,swallowing,muscle,weakness,loss of coordination,numbness,tingling,hands,feet"
Behcet's disease,"
There is no one definitive list of symptoms of Behcet's disease, as the condition can vary greatly from person to person. However, some common symptoms include mouth sores, eye inflammation, skin rashes, and genital ulcers. Joint pain, fatigue, and fever may also be experienced.","mouth,sore,eye,skin,rash,gen,ital,joint,fever"
Suicide and suicidal thoughts,"
There are many symptoms of suicide and suicidal thoughts. Some of the most common symptoms include: feeling hopeless, feeling helpless, feeling like a burden to others, experiencing extreme mood swings, withdrawing from friends and activities, talking about wanting to die or hurt oneself, making a plan to commit suicide, and stockpiling pills or buying a gun. If someone you know is exhibiting any of these symptoms, it is important to get them help immediately.","hopeless,helpless,burden"
Congenital heart disease in adults,"
There are many different types of congenital heart disease, so the symptoms can vary widely. In general, adults with congenital heart disease may experience shortness of breath, fatigue, chest pain, irregular heartbeats, or dizziness.","heart,congenital,shortness of breath,chest,irregular"
Keratoconus,"
Keratoconus is a progressive eye disease in which the normally round, dome-shaped cornea becomes thin and cone-shaped. This abnormal shape prevents the eye from focusing light properly, causing distorted vision.

The most common symptom of keratoconus is blurred vision. Other symptoms may include:

•	Nearsightedness

•	 astigmatism

•	Glare and halos around lights

•	Eye fatigue

•","keratoconus,eye disease,cornea,eye,distorted,ke,blurred,nearsightedness,as,ti,gm,atism,glare,halos around,eye,fatigue"
Breast cysts,"
-A lump in the breast
-Changes in the size or shape of the breast
-Thickening of the breast tissue
-Breast pain
-Nipple discharge","lump,breast,breast,thick,breast,breast,pain,nipple"
Nightmare disorder,"
There are many symptoms of nightmare disorder, but some of the most common include:

1. Recurrent and vivid nightmares that are upsetting and cause distress
2. Difficulty falling asleep or staying asleep due to fear of nightmares
3. Avoidance of sleep or sleeping in an environment that is not conducive to nightmares (e.g., sleeping during the day, in a well-lit room)
4. Difficulty functioning during the day due to fatigue or insomnia
5. Anxiety, depression","nightmare,nightmares,distress,falling asleep,asleep,nightmares,nightmares,fatigue,ins,omnia,depression"
Cataracts,"
The symptoms of cataracts include cloudy or blurry vision, difficulty seeing at night, and faded or yellowed colors. Other symptoms may include double vision in one eye, halos around lights, and increased sensitivity to glare.","blurry,difficulty seeing,double vision,halos"
Enlarged breasts in men (gynecomastia),"
The symptoms of enlarged breasts in men (gynecomastia) may include:

-A larger than normal cup size
-Pain or tenderness in the breast area
-Nipple discharge
-Enlargement of the areola","enlarged,breasts,pain,tenderness,breast area,nipple,discharge,en,lar,gement,areola"
Malignant peripheral nerve sheath tumors,"
-Pain
-Swelling
-Numbness
-Weakness
-Paralysis","pain,swelling,numbness,weakness,paralysis"
Urinary incontinence,"
There are many symptoms of urinary incontinence, and they vary depending on the type of incontinence. The most common symptom is the involuntary loss of urine. Other symptoms may include a strong urge to urinate, difficulty urinating, or leakage of urine when coughing, laughing, or exercising.","loss,leakage of urine"
Hypoglycemia,"
-heart palpitations
-dizziness
-lightheadedness
-anxiety
-trembling
-sweating
-hunger","heart,palpitations,di,zziness,lightheadedness,anxiety,trembling,sweating,hunger"
Cholangiocarcinoma (bile duct cancer),"
yellowing of the skin and whites of the eyes, dark urine, pale stool, itchiness, fatigue, jaundice","yellow,ing,skin,it,chin,ja,undice"
Diffuse idiopathic skeletal hyperostosis (DISH),"
DISH is a condition that results in the overgrowth of bone tissue along the spine. This can lead to a loss of flexibility in the spine and may cause pain or discomfort.","dish,over,growth,bone,loss of flexibility,spine"
Preeclampsia,"
The most common symptom of preeclampsia is high blood pressure. Other symptoms can include headaches, changes in vision, and swelling in the hands, feet, and face.","pre,headache,changes,swelling"
Hypothyroidism,"
There are many symptoms of hypothyroidism, and they vary from person to person. The most common symptom is fatigue. Other symptoms may include weight gain, constipation, hair loss, cold intolerance, and muscle aches. In severe cases, hypothyroidism can lead to coma or even death.","h,fatigue,cold,h,yr,coma"
Sjogren's syndrome,"
The most common symptoms of Sjogren's syndrome are dryness of the eyes and mouth. Other symptoms may include:

* Dryness of the skin
* vaginal dryness
* itching
* rashes
* joint pain
* fatigue","s,jo,gren ' s syndrome,dry,ness,eyes,dryness,skin,va,ginal,dryness,it,ching,rash,joint,pain,fatigue"
Schizophrenia,"
There are a wide range of symptoms associated with schizophrenia, which can be divided into three categories: positive, negative, and cognitive. Positive symptoms are those that are not seen in healthy individuals and reflect an excess or distortion of normal functions. Negative symptoms are those that represent a diminishment or loss of normal functions. Cognitive symptoms are problems with thinking, attention, and memory.

Positive symptoms may include:

· Hallucinations: seeing, hearing, or feeling things that are not","positive symptoms,negative symptoms,cognitive symptoms,symptoms,hall,uc,inations,feeling,things,are"
Liver cancer,"
The symptoms of liver cancer may not appear until the cancer is in an advanced stage. When symptoms do occur, they may include:

-Jaundice (a yellowing of the skin and whites of the eyes)
-Abdominal pain in the upper right side
-Swelling or fluid buildup in the abdomen
-Unexplained weight loss
-Loss of appetite
-Fatigue
-Nausea and vomiting
-Changes in stool color","liver,symptoms,ja,und,ice,yellow,ing,abdominal,pain,upper right,swelling,fluid buildup,abdomen,weight loss loss of appetite,fatigue,nausea,vomiting"
Pet allergy,"
Itchy skin, red and watery eyes, sneezing, runny nose, coughing, wheezing, difficulty breathing. In severe cases, anaphylaxis.","it,run,w,hee,ana"
Primary sclerosing cholangitis,"
The symptoms of primary sclerosing cholangitis include fatigue, pruritus, jaundice, and dark urine. The symptoms may also include abdominal pain, diarrhea, and weight loss.","cho,itis,ja,und,abdominal"
Esophageal varices,"
Esophageal varices are abnormal, enlarged veins in the lower part of the esophagus. They are similar to varicose veins that can occur in your legs.

Esophageal varices occur most often in people with liver diseases, such as cirrhosis. Cirrhosis is a condition that occurs when healthy liver tissue is replaced by scar tissue. This scarring prevents the liver from working properly.

Esophageal varices can bleed suddenly and","esophageal,varices,enlarged veins,lower,esopha,legs,esop,ge,varices,ci,rrhosis,liver,liver,esophageal,varices,bleed"
Vaginal cancer,"
The most common symptom of vaginal cancer is abnormal bleeding, which may occur during or after sexual intercourse, or during menopause. Other symptoms may include:

-Discomfort during sexual intercourse
-Vaginal discharge that is watery, bloody, or foul-smelling
-Pelvic pain or pressure
-Pain during urination
-Constipation
-Lump in the vagina","va,discomfort,va,ginal,pe,lvic,pain,pain,lump,vagina"
Spinal arteriovenous malformation (AVM),"
The symptoms of a spinal arteriovenous malformation (AVM) vary depending on the size and location of the AVM. Most people with a spinal AVM do not have any symptoms. If the AVM is large or located in the thoracic or lumbar spine, it may cause back pain, weakness, or numbness in the legs. If the AVM is located in the cervical spine, it may cause headaches, neck pain, or paralysis of the arms or","spinal,arte,riovenous malformation,av,m,av,spinal,av,av,lu,mba,back,av,cervical,neck,paralysis,arms"
Leukemia,"
Lymph nodes may swell, the spleen or liver may become enlarged, and bruises or bleeds may occur more easily than usual.","lym,nodes,sp,leen,liver,bruises,bleed"
Hemifacial spasm,"
The symptoms of hemifacial spasm include:

– Uncontrollable twitching or spasms of the muscles on one side of the face

– Spasms that typically begin in the eyelid and spread to the muscles around the mouth

– Spasms that can occur several times per day and last for several seconds to minutes at a time

– Spasms that may interfere with speaking, eating, or drinking

– Spasms that can be triggered by stress","sm,twitching,spasms,muscles,one side of the face,spasms,in the eyelid,muscles around the mouth,spasms,spasms,spasms,stress"
Charcot,"
The symptoms of Charcot depend on the nerves that are affected. Symptoms may include loss of sensation, weakness, and paralysis.",loss of sensation
Cirrhosis,"
Cirrhosis is a chronic liver disease in which normal liver cells are replaced by scar tissue. This scarring prevents the liver from functioning properly. Symptoms of cirrhosis include fatigue, weakness, weight loss, loss of appetite, nausea, and yellowing of the skin and eyes (jaundice).","cirrhosis,liver,scar,scar,liver,ci,weight loss,loss of appetite,yellowing of the,skin,eyes,ja,und"
Bulimia nervosa,"
-Recurrent episodes of binge eating
-Eating an unusually large amount of food in a short period of time
-Feeling out of control during a binge
-Feeling disgusted, depressed, or guilty after bingeing
-Engaging in compensatory behaviors such as purging (by vomiting, using laxatives, or excessive exercise) to prevent weight gain after a binge","control,guilty,pu,rg,weight gain"
Chondrosarcoma,"
The most common symptom of chondrosarcoma is pain in the affected area. Other symptoms may include:

-Swelling
-Tenderness
-Stiffness
-Lump or mass","cho,ndrosarcoma,pain,swelling,tenderness,stiffness,lump,mass"
Herniated disk,"
pain, numbness, weakness","pain,numb,weakness"
Hemochromatosis,"
The symptoms of hemochromatosis can vary greatly from person to person. Many people with the condition have no symptoms at all. For those who do have symptoms, they can include fatigue, weakness, weight loss, abdominal pain, joint pain, impotence, and loss of libido. In more severe cases, hemochromatosis can lead to heart failure, liver disease, diabetes, and even death.","hemoch,atosis,symptoms,abdominal,joint,imp,of libid,hemoch,sis"
Scoliosis,"
The most common symptom of scoliosis is a visible curve in the spine. The curve is usually S- or C-shaped. The degree of the curve may vary over time. The curve is usually more pronounced when bending forward.

Other symptoms may include:

-Uneven shoulders
-One shoulder blade that appears more prominent than the other
-One hip that appears higher than the other
-Clothes that fit unevenly or feel tighter on one side
-","sc,uneven,shoulders,shoulder,hip"
Urinary tract infection (UTI),"
The symptoms of a urinary tract infection (UTI) vary depending on the location of the infection.

If the infection is in the urethra, the person may have pain or burning during urination, an intense urge to urinate, and/or cloudy or bloody urine. If the infection is in the bladder, the person may have pain in the lower abdomen and/or back, an intense urge to urinate, and/or cloudy or bloody urine. If the infection is","ur,ina,tract infection,infection,pain,burning,infection,pain,lower abdomen,infection"
Hashimoto's disease,"
The symptoms of Hashimoto's disease vary and can range from mild to severe. The most common symptom is fatigue. Other symptoms may include weight gain, cold intolerance, muscle aches, joint pain, constipation, depression, and irregular menstrual cycles.","to ' s disease,fatigue,cold,con"
Hemophilia,"
There are a number of different symptoms associated with hemophilia, and they can vary depending on the severity of the condition. In general, people with hemophilia tend to bleed for a longer period of time than people without the condition. They may also have large bruises, and they may bleed internally.","symptoms,hem,bleed,bleed"
Lichen planus,"
Lichen planus is a chronic inflammatory skin condition that can cause itching, pain, and changes to the skin. The most common symptoms are small, raised bumps on the skin that are often itchy. The bumps may be red, purple, or white and can occur anywhere on the body, but most often appear on the wrists, ankles, or lower back. Lichen planus can also cause changes to the nails and hair. In some cases, lichen planus may also affect the","lichen,bumps,skin,bumps,lichen,li,chen"
Eisenmenger syndrome,"
-Cyanosis
-Clubbing of the fingers
-Heart murmur
-Elevated blood pressure in the lungs
-Fatigue
-Shortness of breath
-Chest pain","cyanosis,clubbing,fingers,heart,murmur,lungs,fatigue,shortness of breath,chest,pain"
Kidney stones,"
Kidney stones can cause severe pain in the abdomen, groin, or back. Other symptoms include nausea, vomiting, fever, and blood in the urine.","kidney,pain,nausea,vomiting"
Sleepwalking,"
There are a variety of symptoms associated with sleepwalking, including:

* Sleepiness during the day
* Difficulty falling asleep at night
* Walking or moving around during sleep
* Talking during sleep
* Confusion or disorientation after waking up from a sleepwalking episode
* Sleep terrors or nightmares","sleepiness,falling asleep,moving around,sleep confusion,di,sorientation,sleep terrors,nightmares"
Childhood asthma,"
The main symptoms of childhood asthma are coughing, wheezing, and difficulty breathing.",
Carotid artery disease,"
The most common symptom of carotid artery disease is intermittent claudication, which is pain in the legs that occurs when walking. Other symptoms may include numbness, weakness, and tingling in the legs. more severe cases can lead to a stroke or transient ischemic attack (TIA).","carotid artery disease,pain,legs,numb,tingling,stroke,is,che,mic attack"
Ventricular septal defect (VSD),"
The most common symptom of a ventricular septal defect is a heart murmur. Other symptoms may include fatigue, shortness of breath, and difficulty exercising. In some cases, there may be no symptoms.","ventricular septal defect,shortness of breath"
Balance problems,"
-Dizziness
-Lightheadedness
-Vertigo
-Unsteadiness
-Loss of balance","di,zziness,lightheadedness,vertigo,unsteadiness,loss of balance"
Dilated cardiomyopathy,"
The symptoms of dilated cardiomyopathy can vary from person to person, and range from mild to severe. Symptoms may include fatigue, shortness of breath, lightheadedness or fainting, and swelling in the feet, ankles, legs, abdomen, or veins in the neck.","iomyopathy,fatigue,shortness of breath,lightheadedness,swelling"
Autoimmune pancreatitis,"
The symptoms of autoimmune pancreatitis can vary depending on the severity of the condition. In mild cases, patients may experience abdominal pain, diarrhea, and weight loss. In more severe cases, patients may also experience jaundice, pancreatic insufficiency, and diabetes mellitus.","pan,abdominal,ja,und"
Breast pain,"
Symptoms of breast pain may include: 
-Ache 
-Burning sensation 
-Fullness 
-Heavy feeling 
-Itchy breasts 
-Nipple discharge 
-Nipple pain or tenderness 
-Rash 
-Soreness 
-Stabbing pain","breast,pain,ache,it,chy,breasts,nipple,nipple,pain,tenderness,rash,soreness,pain"
Ehlers,"
Some symptoms of Ehlers-Danlos syndrome include:

-joint pain
-joint dislocation
-soft velvety skin
-stretchy skin
-bruising easily
-poor wound healing
-scarring easily
-fragile skin","ehlers,syndrome,joint,pain,joint,dislocation,skin,stretchy,skin,br,uising,scar,skin"
Alcohol use disorder,"
The symptoms of alcohol use disorder can vary depending on the severity of the disorder. Symptoms may include frequently drinking more alcohol than intended, being unable to cut down on drinking, making certain activities contingent on drinking, experiencing withdrawal symptoms when not drinking, and continuing to drink despite negative consequences.",withdrawal symptoms
Concussion,"
There are many symptoms of concussion, and they can last for days, weeks, or even months. The most common symptom is a headache. Other symptoms include dizziness, nausea, vomiting, fatigue, sleepiness, trouble sleeping, trouble concentrating, sensitivity to light and noise, and feeling irritable.",
Staph infections,"
The symptoms of a Staph infection vary depending on what type of infection it is. For example, skin infections often cause redness, swelling, and pus-filled bumps, while more serious infections may cause fever, chills, and difficulty breathing.","infection,skin,infections,pu,infections"
Burns,"
-pain
-redness
-swelling
-blisters
-charring of the skin","pain,redness,swelling,b,listers,char,ring,skin"
Sexually transmitted diseases (STDs),"
There are many different STDs and each one has its own set of symptoms. Some common symptoms include: burning or pain during urination, unusual discharge from the penis or vagina, itching or burning in the genital area, pain during sex, and sores or bumps on the genitals.","st,burning,pain,it,ching,burning,gen,ital,pain,sore,bumps,gen"
Bacterial vaginosis,"
The symptoms of bacterial vaginosis can vary from woman to woman, and some women may not experience any symptoms at all. The most common symptom is a foul-smelling vaginal discharge. Other symptoms can include itching, burning, redness, and pain during urination or intercourse.","foul,it,pain"
Osteomyelitis,"
The most common symptom of osteomyelitis is pain in the affected bone. Other symptoms may include fever, weakness, weight loss, and fatigue.","os,elitis,pain,fever"
Urethral stricture,"
-A feeling that your bladder is not completely emptied when you urinate
-A weak urine stream
-Trouble urinating, which may include dribbling or spraying of urine
-A need to urinate frequently, especially at night
-A feeling of urgency to urinate
-Painful or burning sensation during urination","bladder,dribbling,of urine,urgency"
Menstrual cramps,"
The most common symptom of menstrual cramps is pain in the lower abdomen. The pain can range from mild to severe. Other symptoms can include:

-Bloating
-Diarrhea
-Constipation
-Headache
-Fatigue","men,pain,lower,pain,diarrhea,consti,pation,headache,fatigue"
Floor of the mouth cancer,"
The most common symptom of floor of the mouth cancer is a lump or mass on the floor of the mouth. Other symptoms may include:

• Painless swelling or lump on the floor of the mouth

• Mouth sore that does not heal

• White or red patch on the gums, tongue, or lining of the mouth

• Difficulty chewing or swallowing

• Earache","floor of the mouth,cancer,lump,mass,floor of the mouth,swelling,lump,floor of the mouth,mouth,sore,patch,gum,lining of the mouth,difficulty,earache"
Gender dysphoria,"
Gender dysphoria is a condition in which a person experiences discomfort or distress because there is a mismatch between their biological sex and gender identity. The symptoms vary from person to person, but can include feeling like you are in the wrong body, feeling like you are not your true self, feeling uncomfortable with your body, feeling like you need to transition to your true gender, and experiencing anxiety and depression.","gender,dysphoria,discomfort,distress,feeling"
Trigeminal neuralgia,"
-Severe pain in the face
-Pain that is worse with certain movements, such as chewing or smiling
-Pain that may feel like a sharp, shooting sensation or like a dull ache
-Pain on one side of the face
-Episodes of pain that come and go
-Numbness or tingling in the affected areas","pain,face,pain,pain,ache,pain,one side of the face,pain,numbness,tingling,affected areas"
Niemann,"
Niemann Pick is a rare inherited disease that causes progressive damage to the nervous system. Early symptoms may include difficulty feeding, vomiting, and poor muscle tone. As the disease progresses, symptoms may include seizures, intellectual disability, vision and hearing loss, and ataxia.","ni,emann"
Ulcerative colitis,"
-Abdominal pain and cramping
-Diarrhea
-Rectal bleeding
-Urgency to defecate
-Incontinence
-Fatigue
-Weight loss
-Loss of appetite","abdominal,pain,amp,diarrhea,rectal,bleeding,urgency,def,ecate,inc,ont,inence,fatigue,weight loss loss of appetite"
