disease,symptoms,specialties
Chiari malformation,,"Neurology,Child and Adolescent Neurology,Pediatric Neurosurgery,Neurosurgery"
Behcet's disease,"abdominal,pain,dia,hea,inflammation,veins,arteries,swelling,arms,legs,inflammation,arteries,an,eur,ys,joint,swelling,pain,knees,ankles,elbows,wrists,inflammation,brain,nervous,gen,sore,scrotum,vu,sore,mouth,sore,sores,lesions,mouth,sore,inflammation,pain,acnelike,sores,nod,ules",Rheumatology
Suicide and suicidal thoughts,"eating,sleeping patterns,personality changes,anxious,emotionally high,discouraged,trapped,hopeless",Psychiatry and Psychology
Congenital heart disease in adults,"shortness of breath,irregular heart rhythms,ar,rh,tired,lips,cy,ano,sis,swelling,body,organs,ed","Transplant Center,Heart Transplant Program,Cardiovascular Medicine,Cardiovascular Surgery,Pediatric Cardiology"
Keratoconus,"worse,ning,clouding of vision,night,blurred,distorted vision",Ophthalmology
Breast cysts,"lump,breast,pain,tenderness,breast,lump,breast,lump,breast,lump,breast,tenderness","Breast and Melanoma Surgical Oncology,Breast Clinic"
Nightmare disorder,"awake,disgusted,sweaty,pounding,distress,falling back to sleep,distress,anxiety,fatigue,low energy problems,problems,fear of,dark","Pediatric Sleep Medicine in Minnesota,Pulmonary Medicine,Sleep Medicine"
Cataracts,"dim vision,glare,fading,yellowing of colors,vision,single eye,halos",Ophthalmology
Enlarged breasts in men (gynecomastia),"breast,tenderness,nipple,clothes,swollen,breast",Breast Clinic
Hyperhidrosis,,"Neurology,Thoracic Surgery,Cardiovascular Medicine,Neurosurgery,Pediatric Surgery,Dermatology,Cardiovascular Surgery"
Malignant peripheral nerve sheath tumors,"lump,tissue,under the skin,weakness,affected body,pain,affected area","Neurology,Radiation Oncology,Orthopedic Surgery,Neurosurgery,Oncology (Medical),Cancer Care at Mayo Clinic,Radiology"
Urinary incontinence,"dr,ib,bling,bladder,stress,leaks,bladder,incontinence,stress,urge,urge,inc,ce,neurological disorder,mental impairment,un","Physical Medicine and Rehabilitation,Women's Health,Obstetrics and Gynecology,Urology"
Hypoglycemia,"sha,kiness,sweating,un,respon,sive,loss of consciousness,fatigue,ir,ritability,anxiety,hunger,nausea,headache,pale,ur,speech,blurry vision,tunnel vision,loss of coordination,seizures,inability to complete,di,zziness,lightheadedness,tingling,numbness,lips,tongue or,cheek,difficulty,concentrating","Children's Center,Pediatric and Adolescent Medicine,Endocrinology"
Cholangiocarcinoma (bile duct cancer),"fever,fatigue,urine,abdominal,pain,below the ribs,stool,weight,chy,skin,yellow,ing,skin,whites of your eyes,ja,und,ice,night sweats","Transplant Center,Radiation Oncology,General Surgery,Laboratory Medicine and Pathology,Surgical Oncology and Endocrine Surgery in Arizona,Proton Beam Therapy Program,Liver Transplant Program,Oncology (Medical),Cancer Care at Mayo Clinic,Radiology,Gastroenterology and Hepatology,Hepatobiliary and Pancreas Surgery"
Diffuse idiopathic skeletal hyperostosis (DISH),"stiff,stiffness,difficulty swallowing,pain,back,shoulder,elbow,knee,loss",Physical Medicine and Rehabilitation
Preeclampsia,"liver,problems,shortness of,fluid,lungs,th,proteinuria,kidney,loss of vision,blurred vision,headache,pain,under the ribs,nausea,vomiting","Nephrology and Hypertension,Obstetrics and Gynecology"
Hypothyroidism,"fatigue,muscle ache,tenderness,stiffness,depression,stiffness,swelling,joints,puffy face,sensitivity to cold,thyroid,below the adam ' s apple,thinning hair,thyroid,gland,weight,muscle weakness,dry,skin,hoarseness,enlarged,thyroid gland,goiter,thyroid gland",Endocrinology
Sjogren's syndrome,"dry,eyes,it,ch,grit,ty,mouth,joint,swelling,stiffness,swollen,saliva,set,behind your jaw,front of your ears skin,rashes,skin,vaginal,dryness,dry cough,fatigue",Rheumatology
Schizophrenia,"ess,withdraw,hall,inations,di,di,sor,ized thinking,del,usions",Psychiatry and Psychology
Liver cancer,"nausea,vomiting,y,liver,weight,loss of appetite,abdominal,swelling,liver,upper right,abdomen,beneath the diaphragm,upper left,general,weakness,fatigue,liver,abdominal,pain,discoloration,skin,whites of your,eyes,ja,und,ice","Transplant Center,Pediatric Hematology/Oncology in Minnesota,Radiation Oncology,General Surgery,Surgical Oncology and Endocrine Surgery in Arizona,Proton Beam Therapy Program,Liver Transplant Program,CAR-T Cell Therapy Program,Oncology (Medical),Cancer Care at Mayo Clinic,Gastroenterology and Hepatology,Hepatobiliary and Pancreas Surgery"
Pet allergy,"shortness of breath,coughing,w,heezing,nasal congestion,roof of mouth,throat,awakening,runny nose,s,nee,cough,rubbing of the nose,whistling,wheezing sound,-,skin,under your eyes,pain,watery eyes,nas,drip,difficulty breathing,chest,tightness,pain",Allergic Diseases
Primary sclerosing cholangitis,"fever,weight loss,abdominal,pain,fatigue,enlarged,spleen,eyes,skin,ja,und,ice,it,ching,enlarged,liver,chill,night sweats","Transplant Center,Children's Center,Liver Transplant Program,Gastroenterology and Hepatology,Pediatric and Adolescent Medicine"
Common variable immunodeficiency,,"Children's Center,Clinical Genomics,Primary Immunodeficiency Center in Minnesota,Allergic Diseases,Gastroenterology and Hepatology,Pediatric and Adolescent Medicine"
Esophageal varices,"loss of consciousness,tar,ry,bloody stools,bleeding,br,vomiting,coloration,skin,eyes,ja,und,ice,fluid buildup,abdomen,as,cite,lightheadedness",Gastroenterology and Hepatology
Vaginal cancer,"female,va,ginal discharge,fallopian,ut,cervix,va,gina,va,ginal,urination,lump,mass,va,gina,va,ginal,female reproductive system,pelvic,pain,constipation","Oncology (Medical),Radiation Oncology,Obstetrics and Gynecology,Proton Beam Therapy Program"
Latex allergy,,Allergic Diseases
Spinal arteriovenous malformation (AVM),"headache,difficulty,inating,lack of feeling,legs,numb,pain,legs,stiff,neck,weakness,body,problems,to,back,pain","Spine Care,Neurology,Neurosurgery,Radiology"
Leukemia,"weakness,noseble,ed,swollen,ym,enlarged,liver,sp,leen,spots,skin,bleeding,bruising,infections,weight,fever,chill,bone,pain,tenderness","Transplant Center,Pediatric Hematology/Oncology in Minnesota,Radiation Oncology,Hematology,Bone Marrow Transplant Program,Oncology (Medical),Cancer Care at Mayo Clinic"
Umbilical hernia,,Pediatric Surgery
Hemifacial spasm,"less,un,con,trollable,one side of the face","Ophthalmology,Neurology,Neurosurgery"
Charcot,"to,weakness,legs,ankles,feet,foot,sensation,loss of feeling,legs,feet,loss,muscle,bulk,legs,feet,awkward","Physical Medicine and Rehabilitation,Neurology,Orthopedic Surgery"
Cirrhosis,"fatigue,liver,loss,breast,en,lar,test,at,rophy,nausea,fluid accumulation,abdomen,as,cite,liver,upper right,abdomen,beneath the diaphragm,upper left,blood vessels,skin,skin,dr,owsiness,sl,ur,red speech,pati,bleeding,br,uising redness,palms of the hands,liver,weight loss,yellow,disco,loration,skin,eyes,ja,und,appetite,absent,loss of,swelling,legs,feet,ankles","Liver Transplant Program,Gastroenterology and Hepatology,Transplant Center"
Bulimia nervosa,"weight loss,restricting,vomit,weight,weight,loss of control,can,t stop eating,can,t control what you","Children's Center,Psychiatry and Psychology,Pediatric and Adolescent Medicine"
Chondrosarcoma,"weakness,bow,bladder,spinal cord,pain,lump,swelling","Shoulder and Elbow Surgery in Rochester,Radiation Oncology,Orthopedic Surgery,Neurosurgery,Head and Neck Cancer Center,Oncology (Medical),Radiology"
Herniated disk,"numbness,her,numbness,tingling,arm,leg,pain,pain,butt,thigh,pain,foot,pain,shoulder,pain,arm,leg,s,neeze,pain","Physical Medicine and Rehabilitation,Neurology,Orthopedic Surgery,Spine Care"
Hemochromatosis,"heart failure,fatigue,diabetes impotence,liver failure,joint,pain,abdominal,pain,loss,sex drive weakness","Liver Transplant Program,Gastroenterology and Hepatology,Transplant Center"
Atrioventricular canal defect,,Pediatric Cardiac Surgery
Scoliosis,"uneven,cage,shoulders,back","Physical Medicine and Rehabilitation,Neurology,Children's Center,Orthopedic Surgery,Pediatric Orthopedic Surgery,Neurosurgery,Spine Care,Pediatric and Adolescent Medicine"
Urinary tract infection (UTI),"feeling,urine,signs of blood,pe,vic,women,center of the pelvis,area of the pubic bone","Children's Center,Infectious Diseases,Pediatric and Adolescent Medicine,Urology"
Hashimoto's disease,"cold,muscle,weakness,muscle ache,tenderness,stiffness,dry,skin,depression,swelling,thyroid,fatigue,sluggishness,sleepiness problems,memory,concentration,hair loss,joint,pain,stiffness,enlargement,tongue,puffy face,brittle nails,consti,pation,menst,rual,bleeding",Endocrinology
Hemophilia,"bruises,nosebleeds,swelling,tightness,joints,blood,stool,irritability,bleeding,bleeding","Pediatric Hematology/Oncology in Minnesota,Hematology,Orthopedic Surgery"
Lichen planus,"scalp,nail,damage,loss,blisters,scabs,crust,wrist,gen,itals,patches,mouth,lips,tongue,hair loss,sores,mouth,vagina","Obstetrics and Gynecology,Dermatology"
Eisenmenger syndrome,"cy,ano,tiring,shortness of breath,shortness of breath,coughing up,blood,skipped,racing heartbeats,pal,di,zziness,headache,numbness,tingling,fingers,toes,chest,pain,tightness,fingernails,toe,nails","Heart Transplant Program,Cardiovascular Medicine,Cardiovascular Surgery,Pediatric Cardiac Surgery,Pediatric Cardiology"
Kidney stones,"urine,pain,burning sensation,inating,nausea,vomiting,kidney,stones,pain,lower abdomen,groin,kidney,urine,fever,chills,infection,pain,stones,kidney,stones,ureters,kidneys,bladder,vomiting,fever,chills,pain,side,back,below the ribs","Nephrology and Hypertension,Transplant Center,Urology,Pediatric Urology,Kidney Transplant Program,Radiology"
Sleepwalking,"problems,sleep,eyes,di,sor,iented,confused,injury,sleep disruption,communicate with,violent,confusion,sleep terror,wake up,sleepiness,problems functioning,glazed, glassy - eyed expression","Pulmonary Medicine,Pediatric Sleep Medicine in Minnesota,Sleep Disorders Center in Florida,Sleep Disorders Center in Arizona,Sleep Medicine"
Childhood asthma,"shortness of breath,chest,congestion,tightness,whistling,w,heezing sound,shortness of breath,coughing,wheezing,delayed recovery,bronchitis,respiratory infection,coughing,exercise,cold air trouble breathing,sleep,coughing,w,heezing,cold,flu","Children's Center,Pulmonary Medicine,Pediatric Pulmonology,Allergic Diseases,Pediatric and Adolescent Medicine"
Carotid artery disease,"trouble seeing,one,both eyes,trouble,headache,di,zziness,loss of balance,numbness,weakness,face,on,side of the body","Neurology,Vascular centers,Cardiovascular Medicine,Neurosurgery,Vascular and Endovascular Surgery,Cardiovascular Surgery,Radiology"
Ventricular septal defect (VSD),"breathing,breathlessness,poor eating,whooshing sound,heart,physical growth,failure to thrive,short","Cardiovascular Medicine,Cardiovascular Surgery,Pediatric Cardiac Surgery"
Balance problems,"sense of motion,spinning,vertigo,faintness,lightheadedness,loss of balance,un,steadiness,falling,feeling,fall,di,zziness,confusion","Otolaryngology (ENT)/Head and Neck Surgery,Physical Medicine and Rehabilitation,Neurology,Neurosurgery,Audiology,Pediatric Rehabilitation,Psychiatry and Psychology"
Dilated cardiomyopathy,"fatigue,shortness of breath,d,ys,pnea,chest,pain,discomfort,swelling,ed,ema,ankles,feet,belly","Transplant Center,Cardiovascular Medicine"
Autoimmune pancreatitis,"aip,ai,pain,upper abdomen,middle part of,back,weakness,tiredness,nausea,vomiting,loss of appetite,fullness,weight loss,dark urine,organs,pan,aip,pan,inflammatory bow,aip,aip,skin,eyes,ja,und,ice,pale,stools,stools,float","Gastroenterology and Hepatology,Hepatobiliary and Pancreas Surgery,Pancreas Clinic"
Breast pain,"breast,swelling,fullness,lumpiness,breast,pain,ease,breast,pain,breast,pain,breast,aching,men,men,opause,aching","Breast and Melanoma Surgical Oncology,Pain Rehabilitation Center,Breast Clinic"
Ehlers,"joints,joint,pain,dislocations,fragile,damaged,skin,wound,weakened","Physical Medicine and Rehabilitation,Shoulder and Elbow Surgery in Rochester,Clinical Genomics,Orthopedic Surgery,General Internal Medicine,Pediatric Rehabilitation,Vascular centers,Vascular and Endovascular Surgery,Dermatology,Pediatric Cardiac Surgery,Ehlers-Danlos Syndrome Clinic in Florida"
Alcohol use disorder,"craving,ness,sweating,shaking","Psychiatry and Psychology,Addiction Services"
Concussion,"disorders of taste and smell,blur,ry vision,confusion,feeling,nausea,amnesia,psychological adjustment problems,depression,di,zziness,sleep disturbances,irritability,personality changes,vomiting,loss of consciousness,concentration,memory complaints,ears,fatigue,dr,owsiness,headache,dazed appearance","Physical Medicine and Rehabilitation,Sports Medicine,Neurology,General Internal Medicine,Family Medicine,Emergency Medicine,Pediatric Rehabilitation"
Sclerosing mesenteritis,,"Laboratory Medicine and Pathology,General Surgery,Radiology,Colon and Rectal Surgery,Gastroenterology and Hepatology"
Staph infections,"mrsa,infections,bumps,abs,staph,infection,aph,infection",Infectious Diseases
Burns,"skin,fat,skin,outer layer of the skin,red,skin,ep,ider,swelling,b,list,pain",Plastic and Reconstructive Surgery
Sexually transmitted diseases (STDs),"fever,sores,bumps,the,genitals,oral or rectal area,va,penis,pain,sex,va,ginal,swollen,groin,rash,hands,feet,abdominal,pain,urination","Infectious Diseases,Obstetrics and Gynecology"
Bacterial vaginosis,"va,ginal,it,ching,va,ginal,odor,va,ginal",Obstetrics and Gynecology
Osteomyelitis,"fever,warmth,redness,infection,pain,infection,fatigue","Shoulder and Elbow Surgery in Rochester,Infectious Diseases,Orthopedic Surgery"
Urethral stricture,"urina,ry,tract infection,urge to,straining,pain,spraying,urine",Urology
Menstrual cramps,"throbbing,amp,pain,lower abdomen,ache,pain,pain,lower back,thighs,headache,di,zziness,nausea",Obstetrics and Gynecology
Floor of the mouth cancer,"swelling,neck,pain,loose teeth,mouth,pain,ear,pain,mouth,weight loss,sores,mouth","Otolaryngology (ENT)/Head and Neck Surgery,Radiation Oncology,Oral and Maxillofacial Surgery,Proton Beam Therapy Program,Head and Neck Cancer Center,Oncology (Medical),Cancer Care at Mayo Clinic,Plastic and Reconstructive Surgery"
Gender dysphoria,"gen,gen,ital",Endocrinology
Trigeminal neuralgia,"trigeminal,neuralgia,pain,face,trigeminal,pain,pain,pain,pain,trige,cheek,,,teeth,,gums,,eye,forehead,attacks,pain,facial,spa,sms,pain,electric shock,trigeminal nerve,trigeminal nerve,attacks,pain,pain,attacks,pain,one side of the face","Neurology,Neurosurgery"
Niemann,"s,d,pneumonia,cl,umsiness,sleep disturbances","Physical Medicine and Rehabilitation,Neurology,Children's Center,Pulmonary Medicine,Ophthalmology,Gastroenterology and Hepatology,Pediatric and Adolescent Medicine"
Ulcerative colitis,"abdominal,pain,amp,fever,rectal,pain,fatigue,inability to defecate,urgency,pu,failure to grow,rectal,bleeding,urgency,eca,weight loss","Laboratory Medicine and Pathology,Pediatric Surgery,Radiology,Colon and Rectal Surgery,Gastroenterology and Hepatology"
Dermatitis,"der,matitis,behind the knees,chin,se,bor,der,itis,face,b,o,ozing,crusting bumps,hair,follicles,dry,skin,se,dermatitis,rash,se,dermatitis,thick,ened,skin,fl,aking,dermatitis,dermatitis,skin,behind the knees,front of,neck,se,bor,dermatitis,face,rash,skin,dermatitis,behind the knees",Dermatology
Pancreatic neuroendocrine tumors,"skin,rash,weight loss,fatigue,yellowing,skin,eyes,diabetes,pain,abdomen,back,heartburn,indigestion,stomach,ulcers,diarrhea,constipation,weakness,muscle cramps","Nuclear Medicine Therapy,Pancreas Clinic,General Surgery,Oncology (Medical),Radiology,Gastroenterology and Hepatology,Hepatobiliary and Pancreas Surgery"
Hearing loss,"mu,ffling of speech,sounds,trouble hearing consonants","Otolaryngology (ENT)/Head and Neck Surgery,Audiology"
Retinoblastoma,"center circle of the eye,child eye,swelling,eye,redness,eyes,poor vision","Ophthalmology,Ocular Oncology Program,Radiation Oncology"
Rumination syndrome,"bad breath,fullness,weight loss,nausea,abdominal,pain,pressure","Gastroenterology and Hepatology,Psychiatry and Psychology"
Bell's palsy,"to,facial,facial,weakness,paralysis,one corner of,mouth,saliva,droop,closing,headache,facial paralysis,ool,pain,the jaw,behind your ear,tears,saliva,loss of taste,facial paralysis,weakness,paralysis,one side of your face","Plastic and Reconstructive Surgery,Neurology,Facial Plastic and Reconstructive Surgery"
